# Time,x,y,z
2016-01-01 00:00:00,1.240804154501053039e+06,1.090732045390915737e+05,-8.413914267176756402e+04
2016-01-01 01:00:00,1.240857911243485752e+06,1.100668293411821360e+05,-8.416076867390854750e+04
2016-01-01 02:00:00,1.240911944612144260e+06,1.110604481989503984e+05,-8.418212417151802219e+04
2016-01-01 03:00:00,1.240966252581404056e+06,1.120540586398252926e+05,-8.420320944208500441e+04
2016-01-01 04:00:00,1.241020833116894821e+06,1.130476581569711852e+05,-8.422402478543139296e+04
2016-01-01 05:00:00,1.241075684190681903e+06,1.140412441760734073e+05,-8.424457048945315182e+04
2016-01-01 06:00:00,1.241130803793902509e+06,1.150348142052144540e+05,-8.426484684326924616e+04
2016-01-01 07:00:00,1.241186189874161500e+06,1.160283656430580158e+05,-8.428485413478576811e+04
2016-01-01 08:00:00,1.241241840435895370e+06,1.170218959336115222e+05,-8.430459265955194132e+04
2016-01-01 09:00:00,1.241297753457791405e+06,1.180154024790615949e+05,-8.432406271312106401e+04
2016-01-01 10:00:00,1.241353926912073046e+06,1.190088826772871107e+05,-8.434326458187872777e+04
2016-01-01 11:00:00,1.241410358786557335e+06,1.200023338974280923e+05,-8.436219857178675011e+04
2016-01-01 12:00:00,1.241467047091417015e+06,1.209957535291967361e+05,-8.438086497289972613e+04
2016-01-01 13:00:00,1.241523989792592591e+06,1.219891389037713088e+05,-8.439926407804188784e+04
2016-01-01 14:00:00,1.241581184903792106e+06,1.229824873480948299e+05,-8.441739618767629145e+04
2016-01-01 15:00:00,1.241638630395240150e+06,1.239757962012105854e+05,-8.443526159187773010e+04
2016-01-01 16:00:00,1.241696324288448086e+06,1.249690627770066494e+05,-8.445286061069386778e+04
2016-01-01 17:00:00,1.241754264574303990e+06,1.259622843382878200e+05,-8.447019351432635449e+04
2016-01-01 18:00:00,1.241812449252590770e+06,1.269554581909623666e+05,-8.448726061885699164e+04
2016-01-01 19:00:00,1.241870876334515866e+06,1.279485815822770528e+05,-8.450406221926829312e+04
2016-01-01 20:00:00,1.241929543825804256e+06,1.289416517647147120e+05,-8.452059861972462386e+04
2016-01-01 21:00:00,1.241988449734115275e+06,1.299346659841590445e+05,-8.453687012561626034e+04
