# Time,x,y,z
2016-01-01 00:00:00,1.426047971421000082e+06,2.434984561790000007e+05,-4.671067962000000261e+04
2016-01-01 01:00:00,1.426191977446000092e+06,2.436257939400000032e+05,-4.695630006500000309e+04
2016-01-01 02:00:00,1.426336155535999918e+06,2.437528695149999985e+05,-4.720181513000000268e+04
2016-01-01 03:00:00,1.426480503067000071e+06,2.438796830699999991e+05,-4.744722457199999917e+04
2016-01-01 04:00:00,1.426625017417999916e+06,2.440062347540000046e+05,-4.769252815199999895e+04
2016-01-01 05:00:00,1.426769695966999978e+06,2.441325247009999875e+05,-4.793772562699999980e+04
2016-01-01 06:00:00,1.426914536088000052e+06,2.442585530269999872e+05,-4.818281675600000017e+04
2016-01-01 07:00:00,1.427059535158999963e+06,2.443843198339999944e+05,-4.842780129799999850e+04
2016-01-01 08:00:00,1.427204690554999979e+06,2.445098252069999871e+05,-4.867267901100000017e+04
2016-01-01 09:00:00,1.427349999650999904e+06,2.446350692160000035e+05,-4.891744965499999671e+04
2016-01-01 10:00:00,1.427495459822000004e+06,2.447600519149999891e+05,-4.916211298700000043e+04
2016-01-01 11:00:00,1.427641068441000069e+06,2.448847733409999928e+05,-4.940666876600000251e+04
2016-01-01 12:00:00,1.427786822882999899e+06,2.450092335169999860e+05,-4.965111675000000105e+04
2016-01-01 13:00:00,1.427932720520999981e+06,2.451334324510000006e+05,-4.989545669800000178e+04
2016-01-01 14:00:00,1.428078758728000103e+06,2.452573701320000109e+05,-5.013968836700000247e+04
2016-01-01 15:00:00,1.428224934876000043e+06,2.453810465379999951e+05,-5.038381151700000191e+04
2016-01-01 16:00:00,1.428371246336000040e+06,2.455044616270000115e+05,-5.062782590399999754e+04
2016-01-01 17:00:00,1.428517690481999889e+06,2.456276153430000122e+05,-5.087173128700000234e+04
2016-01-01 18:00:00,1.428664264684000053e+06,2.457505076180000033e+05,-5.111552742399999988e+04
2016-01-01 19:00:00,1.428810966312000062e+06,2.458731383659999992e+05,-5.135921407200000249e+04
2016-01-01 20:00:00,1.428957792738999939e+06,2.459955074850000092e+05,-5.160279098800000065e+04
2016-01-01 21:00:00,1.429104741332999896e+06,2.461176148589999939e+05,-5.184625792999999976e+04
2016-01-01 22:00:00,1.429251809464999940e+06,2.462394603559999960e+05,-5.208961465599999792e+04
2016-01-01 23:00:00,1.429398994503000053e+06,2.463610438279999944e+05,-5.233286092099999951e+04
2016-01-02 00:00:00,1.429546293818000006e+06,2.464823651139999856e+05,-5.257599648400000297e+04
2016-01-02 01:00:00,1.429693704777000006e+06,2.466034240369999898e+05,-5.281902109899999778e+04
2016-01-02 02:00:00,1.429841224750000052e+06,2.467242204020000063e+05,-5.306193452499999694e+04
2016-01-02 03:00:00,1.429988851103000110e+06,2.468447540020000015e+05,-5.330473651699999755e+04
2016-01-02 04:00:00,1.430136581205999944e+06,2.469650246139999945e+05,-5.354742682999999670e+04
2016-01-02 05:00:00,1.430284412422999972e+06,2.470850320000000065e+05,-5.379000522199999978e+04
2016-01-02 06:00:00,1.430432342123999959e+06,2.472047759070000029e+05,-5.403247144700000354e+04
