# Time,x,y,z
2016-01-01 00:00:00,1.521746000000000000e+06,-1.524360000000000000e+05,1.384330000000000000e+05
2016-01-01 01:00:00,1.521704000000000000e+06,-1.527460000000000000e+05,1.383200000000000000e+05
2016-01-01 02:00:00,1.521662000000000000e+06,-1.530550000000000000e+05,1.382070000000000000e+05
2016-01-01 03:00:00,1.521621000000000000e+06,-1.533650000000000000e+05,1.380950000000000000e+05
2016-01-01 04:00:00,1.521579000000000000e+06,-1.536750000000000000e+05,1.379820000000000000e+05
2016-01-01 05:00:00,1.521538000000000000e+06,-1.539840000000000000e+05,1.378700000000000000e+05
2016-01-01 06:00:00,1.521496000000000000e+06,-1.542940000000000000e+05,1.377570000000000000e+05
2016-01-01 07:00:00,1.521454000000000000e+06,-1.546030000000000000e+05,1.376440000000000000e+05
2016-01-01 08:00:00,1.521412000000000000e+06,-1.549130000000000000e+05,1.375320000000000000e+05
2016-01-01 09:00:00,1.521371000000000000e+06,-1.552230000000000000e+05,1.374190000000000000e+05
2016-01-01 10:00:00,1.521329000000000000e+06,-1.555320000000000000e+05,1.373070000000000000e+05
2016-01-01 11:00:00,1.521287000000000000e+06,-1.558420000000000000e+05,1.371940000000000000e+05
2016-01-01 12:00:00,1.521246000000000000e+06,-1.561510000000000000e+05,1.370810000000000000e+05
2016-01-01 13:00:00,1.521201000000000000e+06,-1.564420000000000000e+05,1.369610000000000000e+05
2016-01-01 14:00:00,1.521157000000000000e+06,-1.567330000000000000e+05,1.368400000000000000e+05
2016-01-01 15:00:00,1.521113000000000000e+06,-1.570240000000000000e+05,1.367200000000000000e+05
2016-01-01 16:00:00,1.521068000000000000e+06,-1.573150000000000000e+05,1.365990000000000000e+05
2016-01-01 17:00:00,1.521024000000000000e+06,-1.576060000000000000e+05,1.364790000000000000e+05
2016-01-01 18:00:00,1.520980000000000000e+06,-1.578970000000000000e+05,1.363590000000000000e+05
2016-01-01 19:00:00,1.520936000000000000e+06,-1.581880000000000000e+05,1.362380000000000000e+05
2016-01-01 20:00:00,1.520892000000000000e+06,-1.584790000000000000e+05,1.361180000000000000e+05
2016-01-01 21:00:00,1.520847000000000000e+06,-1.587700000000000000e+05,1.359980000000000000e+05
2016-01-01 22:00:00,1.520803000000000000e+06,-1.590610000000000000e+05,1.358770000000000000e+05
2016-01-01 23:00:00,1.520759000000000000e+06,-1.593520000000000000e+05,1.357570000000000000e+05
2016-01-02 00:00:00,1.520714000000000000e+06,-1.596430000000000000e+05,1.356360000000000000e+05
2016-01-02 01:00:00,1.520670000000000000e+06,-1.599340000000000000e+05,1.355160000000000000e+05
2016-01-02 02:00:00,1.520626000000000000e+06,-1.602260000000000000e+05,1.353960000000000000e+05
2016-01-02 03:00:00,1.520582000000000000e+06,-1.605170000000000000e+05,1.352750000000000000e+05
2016-01-02 04:00:00,1.520537000000000000e+06,-1.608080000000000000e+05,1.351550000000000000e+05
2016-01-02 05:00:00,1.520493000000000000e+06,-1.610990000000000000e+05,1.350340000000000000e+05
2016-01-02 06:00:00,1.520449000000000000e+06,-1.613900000000000000e+05,1.349140000000000000e+05
2016-01-02 07:00:00,1.520404000000000000e+06,-1.616810000000000000e+05,1.347940000000000000e+05
2016-01-02 08:00:00,1.520360000000000000e+06,-1.619720000000000000e+05,1.346730000000000000e+05
2016-01-02 09:00:00,1.520316000000000000e+06,-1.622630000000000000e+05,1.345530000000000000e+05
2016-01-02 10:00:00,1.520272000000000000e+06,-1.625540000000000000e+05,1.344320000000000000e+05
2016-01-02 11:00:00,1.520227000000000000e+06,-1.628450000000000000e+05,1.343120000000000000e+05
2016-01-02 12:00:00,1.520183000000000000e+06,-1.631360000000000000e+05,1.341920000000000000e+05
2016-01-02 13:00:00,1.520139000000000000e+06,-1.634270000000000000e+05,1.340710000000000000e+05
2016-01-02 14:00:00,1.520094000000000000e+06,-1.637180000000000000e+05,1.339510000000000000e+05
2016-01-02 15:00:00,1.520050000000000000e+06,-1.640090000000000000e+05,1.338310000000000000e+05
2016-01-02 16:00:00,1.520006000000000000e+06,-1.643000000000000000e+05,1.337100000000000000e+05
2016-01-02 17:00:00,1.519962000000000000e+06,-1.645910000000000000e+05,1.335900000000000000e+05
2016-01-02 18:00:00,1.519917000000000000e+06,-1.648820000000000000e+05,1.334690000000000000e+05
2016-01-02 19:00:00,1.519873000000000000e+06,-1.651730000000000000e+05,1.333490000000000000e+05
2016-01-02 20:00:00,1.519828000000000000e+06,-1.654590000000000000e+05,1.332260000000000000e+05
2016-01-02 21:00:00,1.519780000000000000e+06,-1.657330000000000000e+05,1.330990000000000000e+05
2016-01-02 22:00:00,1.519732000000000000e+06,-1.660060000000000000e+05,1.329710000000000000e+05
2016-01-02 23:00:00,1.519683000000000000e+06,-1.662800000000000000e+05,1.328440000000000000e+05
2016-01-03 00:00:00,1.519635000000000000e+06,-1.665530000000000000e+05,1.327160000000000000e+05
2016-01-03 01:00:00,1.519587000000000000e+06,-1.668270000000000000e+05,1.325890000000000000e+05
2016-01-03 02:00:00,1.519539000000000000e+06,-1.671010000000000000e+05,1.324610000000000000e+05
2016-01-03 03:00:00,1.519491000000000000e+06,-1.673740000000000000e+05,1.323330000000000000e+05
2016-01-03 04:00:00,1.519443000000000000e+06,-1.676480000000000000e+05,1.322060000000000000e+05
2016-01-03 05:00:00,1.519395000000000000e+06,-1.679210000000000000e+05,1.320780000000000000e+05
2016-01-03 06:00:00,1.519347000000000000e+06,-1.681950000000000000e+05,1.319510000000000000e+05
