Time,x,y,z,Bx,By,Bz
1537340430.0,-179326.7734375,353716.890625,5179.9375,0.5117365717717111,-1.67562131700358,-2.8580196732502277
1537340490.0,-179345.703125,353705.78125,5174.07421875,-0.028089411262037206,-1.8991970105183462,-2.636691953180375
1537340550.0,-179364.640625,353694.75,5168.234375,0.3702631261365111,-0.7388578533274959,-3.1512809512757745
1537340610.0,-179383.484375,353683.828125,5162.421875,0.4627904718453761,-1.3689579029802101,-2.958292805565574
1537340670.0,-179402.1875,353673.0,5156.625,0.6168021568760628,-1.074335485942609,-2.999789684020952
1537340730.0,-179420.9375,353662.234375,5150.859375,0.34073692567004654,-1.4625698425372913,-2.77622086412144
1537340790.0,-179439.640625,353651.546875,5145.1171875,0.8887817563153061,-0.6912467276627714,-3.0569988641396733
1537340850.0,-179458.328125,353640.875,5139.39453125,-0.2701430943669504,-2.412059168447874,-1.9458605032790894
1537340910.0,-179476.921875,353630.359375,5133.703125,-0.39007571785958595,-2.063613428791549,-2.478752508324416
1537340970.0,-179495.4375,353619.96875,5128.0390625,-0.785576543764758,-2.487427111731255,-2.258767865390049
1537341030.0,-179514.0078125,353609.578125,5122.38671875,-0.306102498396128,-1.4772081895449163,-2.977379384866968
1537341090.0,-179532.46875,353599.296875,5116.75390625,-0.4265187648260568,-1.465537569447362,-2.9673258748764595
1537341150.0,-179550.828125,353589.109375,5111.15625,-0.5171209061086047,-1.1987588189000544,-2.999512576185924
1537341210.0,-179569.1484375,353579.015625,5105.58203125,-0.6224886953670097,-1.560359880851234,-3.0023132360648868
1537341270.0,-179587.4296875,353569.015625,5100.03515625,-0.4978039143148818,-1.5653487500282524,-2.8838603549204658
1537341330.0,-179605.71875,353559.078125,5094.50390625,-0.5200250060782745,-1.3753163079795834,-2.9386703054396794
1537341390.0,-179624.0,353549.1875,5089.0,-0.4781561922363626,-1.5672399173886173,-2.6510056576891965
1537341450.0,-179642.1796875,353539.40625,5083.52734375,-0.170803099124248,-1.335544501247417,-2.926091377898729
1537341510.0,-179660.2734375,353529.75,5078.06640625,-0.13337706513175776,-1.3168779739947793,-2.673041219928131
1537341570.0,-179678.328125,353520.1875,5072.6484375,1.1724919045403173,-1.1605609886021413,-2.610151021841081
1537341630.0,-179696.4296875,353510.671875,5067.25,1.4416565338890799,-1.250527866335818,-2.3029229634081054
1537341690.0,-179714.4765625,353501.203125,5061.86328125,0.8559917724068266,-1.172802902458973,-2.6408196107955817
1537341750.0,-179732.40625,353491.84375,5056.515625,1.413415891870799,-1.0758478780296872,-2.4788232335810165
1537341810.0,-179750.3515625,353482.59375,5051.1875,0.9282168188819202,-1.3678982326061855,-2.4997038396533067
1537341870.0,-179768.21875,353473.4375,5045.890625,1.026482377197164,-1.2626352929826905,-2.5264557657913467
1537341930.0,-179786.0234375,353464.328125,5040.6171875,1.3597426461244297,-1.096158070699066,-2.4057980893632753
1537341990.0,-179803.78125,353455.328125,5035.359375,1.8620541180830688,-0.8932526645316288,-2.3005743101938494
1537342050.0,-179821.4609375,353446.484375,5030.13671875,1.4811971155084755,-1.0270674669713673,-2.235361806780217
1537342110.0,-179839.1015625,353437.75,5024.9375,1.9222611037802382,-1.5848184478633813,-1.3956089845390454
1537342170.0,-179856.6796875,353429.046875,5019.76953125,1.534550090182925,-1.2695796947233893,-2.21051111118175
1537342230.0,-179874.25,353420.40625,5014.6328125,1.5052382436214444,-1.5989132384966318,-2.0669417526731566
1537342290.0,-179891.828125,353411.875,5009.51953125,1.6186407036275015,-1.4314566703787621,-2.1251783843578775
1537342350.0,-179909.3125,353403.4375,5004.43359375,1.3088660644091143,-1.7246096441231242,-2.056899398227748
1537342410.0,-179926.7109375,353395.09375,4999.37109375,1.298470123569583,-1.6530420987309904,-2.108954306293001
1537342470.0,-179944.0703125,353386.859375,4994.33984375,1.2930204363467435,-1.7726352970550627,-2.0087319691617442
1537342530.0,-179961.3671875,353378.734375,4989.3359375,1.7491793591618279,-1.4669091611200629,-1.8944017240881537
1537342590.0,-179978.65625,353370.640625,4984.34765625,0.8662551091465037,-1.8649804732707858,-2.0681921404294683
1537342650.0,-179995.953125,353362.625,4979.390625,0.9331724216972865,-2.0710156125067285,-1.840454628561777
1537342710.0,-180013.2109375,353354.75,4974.46484375,1.3488657900067211,-2.1356807061584533,-1.7282297628200471
1537342770.0,-180030.375,353346.984375,4969.5703125,1.8698136619761545,-1.7902346940608964,-1.4586322977769768
1537342830.0,-180047.4453125,353339.3125,4964.703125,2.2004682529967714,-1.9282313382022611,-0.7055290490132077
1537342890.0,-180064.5234375,353331.71875,4959.859375,1.829880665777129,-2.2317950272253158,-0.7251519780900608
1537342950.0,-180081.546875,353324.234375,4955.0546875,1.1534471236002206,-2.4346455185735567,-1.4792020975088063
1537343010.0,-180098.46875,353316.859375,4950.28125,0.7826574892521524,-2.3214419360771514,-1.7859573710094265
1537343070.0,-180115.40625,353309.5625,4945.5234375,0.8592594834952788,-2.7559160382009593,-1.5380963041537161
1537343130.0,-180132.296875,353302.375,4940.7890625,0.7818408957980078,-2.3281631167848533,-2.1422947737121296
1537343190.0,-180149.125,353295.265625,4936.09765625,0.787254893398388,-2.358979999687267,-1.9517760641122714
1537343250.0,-180165.921875,353288.234375,4931.4375,0.8359696077983458,-2.114083148781769,-2.107248527199802
1537343310.0,-180182.5859375,353281.375,4926.80078125,1.1491462846015077,-2.588328071583455,-1.5981168612351255
1537343370.0,-180199.2421875,353274.625,4922.19921875,0.9132742629366901,-2.406240232163001,-2.1030344659913243
1537343430.0,-180215.90625,353267.921875,4917.62890625,0.9048545364256689,-2.314400292242906,-2.2951822236908024
1537343490.0,-180232.5234375,353261.296875,4913.08203125,1.0703026463663043,-2.3609657300209563,-2.346054274294714
1537343550.0,-180249.140625,353254.78125,4908.56640625,1.015620338554436,-2.3840852510645067,-2.267955072284341
1537343610.0,-180265.640625,353248.390625,4904.0859375,1.069785035353658,-2.280100362222823,-2.3816208972361324
1537343670.0,-180282.1015625,353242.09375,4899.63671875,0.9371118454148858,-2.165200629643602,-2.3256493575889152
1537343730.0,-180298.5390625,353235.90625,4895.2109375,0.9648024897225058,-2.1474564369489735,-2.3960459789008914
1537343790.0,-180314.921875,353229.796875,4890.81640625,0.8662009126036514,-2.1644141025349644,-2.596589751413533
1537343850.0,-180331.3125,353223.78125,4886.453125,1.3030666403399782,-2.262752220872098,-1.9318518225087646
1537343910.0,-180347.5625,353217.953125,4882.125,1.7039689182848525,-2.337565904972257,-1.4049319508317286
1537343970.0,-180363.8046875,353212.203125,4877.8359375,0.9219240014416558,-2.155416178634002,-2.0685158079135584
1537344030.0,-180380.046875,353206.5,4873.5625,1.1414802300070466,-2.228803227346333,-2.099281112281746
1537344090.0,-180396.203125,353200.921875,4869.328125,1.4288464847368314,-2.2993547749068535,-2.0513583936012583
1537344150.0,-180412.3203125,353195.46875,4865.13671875,1.157664856449353,-2.41318516946656,-2.2255778919555427
1537344210.0,-180428.296875,353190.171875,4860.9609375,1.3469072158637094,-2.1651976467813365,-2.4182801385865162
1537344270.0,-180444.265625,353184.96875,4856.82421875,1.057849409567304,-1.9613626150200654,-2.631193141798143
1537344330.0,-180460.2421875,353179.84375,4852.73046875,1.2413769489657547,-2.0015727804703713,-2.6211607971976396
1537344390.0,-180476.234375,353174.78125,4848.6640625,1.0583229599115387,-2.0840152604147724,-2.6274661005082245
1537344450.0,-180492.1640625,353169.84375,4844.625,1.0420741702892213,-2.3343084692933007,-2.5311354386317175
1537344510.0,-180507.9453125,353165.09375,4840.62109375,1.180246472194766,-2.2053754471661877,-2.4729399069748674
1537344570.0,-180523.7421875,353160.40625,4836.65234375,1.3860583687998511,-2.220518609640509,-2.392887163475198
1537344630.0,-180539.5,353155.828125,4832.71484375,1.6366057317328349,-2.062271159110741,-2.4108579989881602
1537344690.0,-180555.171875,353151.40625,4828.8203125,1.3871853162892644,-2.0415123648533062,-2.373892608722084
1537344750.0,-180570.84375,353147.0625,4824.95703125,1.3403642347450897,-2.0817666535867545,-2.424462027937139
1537344810.0,-180586.46875,353142.8125,4821.125,1.7409162571701566,-1.6345956356679738,-2.199754067963871
1537344870.0,-180602.0390625,353138.6875,4817.328125,1.7082257522864408,-1.5371561368161828,-2.1903960765534296
1537344930.0,-180617.5625,353134.671875,4813.5625,1.4005709024177089,-1.5899815811596236,-2.5193851464935673
1537344990.0,-180633.015625,353130.796875,4809.84375,1.6829055326369564,-2.219768848313966,-2.1203433085873487
1537345050.0,-180648.4609375,353127.015625,4806.16015625,1.6238887068819623,-2.212276416563979,-2.2239678853553397
1537345110.0,-180663.8125,353123.375,4802.5,1.230676571470857,-2.1978593030473395,-2.3029662186394337
1537345170.0,-180679.125,353119.875,4798.88671875,1.7254817869375048,-2.093544271239669,-2.1469324987886043
1537345230.0,-180694.484375,353116.4375,4795.3046875,1.960587532271046,-1.5371080478152996,-2.2977168405861463
1537345290.0,-180709.7578125,353113.140625,4791.75390625,2.823592062675236,-0.2107792635835088,-1.6544225733956697
1537345350.0,-180724.984375,353109.9375,4788.24609375,3.0107630793142017,-0.14776362878974267,-1.6505033839387422
1537345410.0,-180740.1640625,353106.875,4784.77734375,3.070351125969086,-0.37346776377784124,-1.4995161026547048
1537345470.0,-180755.296875,353103.953125,4781.35546875,3.151091348988228,-0.1954802285992992,-1.570942900186656
1537345530.0,-180770.3828125,353101.140625,4777.9609375,3.1178424538437173,-0.24692505748223745,-1.524687079422271
1537345590.0,-180785.3984375,353098.484375,4774.59765625,2.9497250958045997,-0.4836175195541681,-1.3646369072843276
1537345650.0,-180800.46875,353095.890625,4771.28125,3.2063109072753955,-0.457825700850212,-1.5486226663887648
1537345710.0,-180815.4453125,353093.4375,4768.0,3.085323945297327,-0.18106138973650446,-1.3290685540949831
1537345770.0,-180830.28125,353091.171875,4764.75390625,3.035061307059184,-0.38723299563587343,-1.385541911127329
1537345830.0,-180845.15625,353088.96875,4761.5546875,2.957191722161156,-0.5643677074639842,-1.362438055611499
1537345890.0,-180860.0,353086.890625,4758.3984375,2.3311760965081194,-1.461808541724263,-1.9646943860116075
1537345950.0,-180874.8046875,353084.953125,4755.26953125,2.254945965519243,-1.201457999604292,-1.9272850166562103
1537346010.0,-180889.515625,353083.15625,4752.1796875,2.4324731608430405,-1.4850689539871844,-1.7877238646257974
1537346070.0,-180904.2265625,353081.46875,4749.14453125,2.5617063164326415,-1.3475859019415921,-1.7181000527362247
1537346130.0,-180918.9921875,353079.875,4746.1484375,2.257945080735499,-1.5746368076947987,-1.9635390479123942
1537346190.0,-180933.6328125,353078.46875,4743.17578125,2.1858024351148373,-1.6697734446135737,-1.8516992889669799
1537346250.0,-180948.2265625,353077.15625,4740.24609375,2.3166117844093344,-1.4954412853225825,-1.8494967408528793
1537346310.0,-180962.765625,353076.0,4737.37109375,2.2771805682689465,-1.3673104634267077,-1.9869944945782885
1537346370.0,-180977.2265625,353075.015625,4734.5390625,2.121203839392403,-1.2723320500366906,-2.041262983300313
1537346430.0,-180991.6953125,353074.109375,4731.74609375,2.1393897946201097,-1.3013725948850257,-2.0187968435940866
1537346490.0,-181006.171875,353073.34375,4728.9921875,2.1474158856593664,-1.2139785103789353,-2.0739247157161103
1537346550.0,-181020.6171875,353072.6875,4726.27734375,2.0012719742184943,-1.354254119781118,-2.308858798264035
1537346610.0,-181034.921875,353072.203125,4723.609375,2.1756731724743252,-1.3289946496749634,-2.194750568409702
1537346670.0,-181049.1328125,353071.890625,4720.984375,1.8385721851449535,-1.739766581771088,-1.9821315151234082
1537346730.0,-181063.3984375,353071.671875,4718.3984375,2.0958527859575313,-1.335512691749321,-2.0458402765309875
1537346790.0,-181077.625,353071.609375,4715.86328125,2.126928442052603,-1.342085965779592,-2.1156007150336213
1537346850.0,-181091.71875,353071.71875,4713.3671875,2.078738141098147,-1.316836274039851,-2.022787659505363
1537346910.0,-181105.875,353071.90625,4710.9140625,2.0713751189686054,-1.1817741029592423,-2.1375668034887383
1537346970.0,-181120.03125,353072.234375,4708.51171875,1.9000867604963971,-1.283864433501748,-2.1810147235170767
1537347030.0,-181134.09375,353072.734375,4706.15234375,1.992780934854327,-1.0051541067160934,-2.386154318971108
1537347090.0,-181148.1328125,353073.375,4703.83203125,2.296007380865695,-1.0761877927266557,-2.007474216944947
1537347150.0,-181162.1328125,353074.15625,4701.56640625,2.230245967840089,-0.9638647171457742,-1.9369882611609197
1537347210.0,-181176.0703125,353075.0625,4699.3515625,2.5816681498924114,-0.9493291219987235,-1.7994722704633253
1537347270.0,-181189.9296875,353076.140625,4697.16796875,2.352845569937877,-0.7340455855911595,-1.7520862077044104
1537347330.0,-181203.875,353077.359375,4695.0390625,2.3145070136504824,-0.7304850404370934,-2.030991859793117
1537347390.0,-181217.7734375,353078.71875,4692.96484375,2.791209450627199,-0.933334870286824,-1.6262643447846867
