Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537340430.0,-359.6191974424995,19.910038629912382,-7.53709397998117,1617089.3396392972,-375130.3105506187,66698.62929193022,3.300018548965454,-0.5027819871902466,-1.212242841720581
1537340490.0,-353.4950890907916,19.325614084196257,-7.579264865895302,1617084.5138723655,-375143.0544766523,66698.62507507468,3.304208517074585,-0.48658305406570435,-1.204819679260254
1537340550.0,-347.37098073908373,18.74118953848013,-7.621435751809435,1617079.6881054337,-375155.79840268585,66698.62085821916,3.339677095413208,-0.4687311053276062,-1.1067699193954468
1537340610.0,-341.24687238737584,18.156764992764003,-7.663606637723568,1617074.862338502,-375168.54232871946,66698.61664136362,3.3149311542510986,-0.430623322725296,-1.1095936298370361
1537340670.0,-335.12276403566796,17.57234044704788,-7.705777523637701,1617070.0365715702,-375181.28625475307,66698.61242450809,3.2488179206848145,-0.5310973525047302,-1.1421865224838257
1537340730.0,-328.99865568396007,16.987915901331753,-7.747948409551833,1617065.2108046382,-375194.0301807866,66698.60820765255,3.256213903427124,-0.4351748824119568,-1.1280487775802612
1537340790.0,-364.5696247449639,23.255084587744417,-7.745403450971524,1617060.3850377065,-375206.77410682023,66698.60399079701,3.3016738891601562,-0.3165690004825592,-1.1122572422027588
1537340850.0,-351.65540948495476,25.52590975662718,-7.524266121956749,1617055.5592707747,-375219.51803285384,66698.59977394147,3.2689671516418457,-0.60435950756073,-1.12415611743927
1537340910.0,-363.47068253255014,22.45989331935149,-7.04545435999829,1617050.733503843,-375232.2619588874,66698.59555708595,3.3073768615722656,-0.6420885324478149,-1.1210603713989258
1537340970.0,-375.2859555801456,19.393876882075798,-6.566642598039831,1617045.9077369112,-375245.005884921,66698.59134023041,3.3041622638702393,-0.6420915126800537,-1.0238111019134521
1537341030.0,-376.05092279971115,19.888395497287885,-6.060584423459529,1617041.0815809008,-375257.74915197655,66698.58696543147,3.281212568283081,-0.616142988204956,-0.9916988611221313
1537341090.0,-379.02917553228093,18.755892228983047,-5.873729556009506,1617036.2550358118,-375270.49176005396,66698.58243268913,3.3009743690490723,-0.6535080671310425,-0.9943450689315796
1537341150.0,-395.07067367690513,26.152342235213546,-6.070544467273213,1617031.4284907226,-375283.23436813144,66698.57789994677,3.317270517349243,-0.7340232729911804,-0.9884916543960571
1537341210.0,-385.5906637784917,41.18239168543738,-6.29270896641028,1617026.6019456335,-375295.97697620885,66698.57336720443,3.3336181640625,-0.734108567237854,-0.9911988377571106
1537341270.0,-395.1400036309709,18.10649503499911,-6.734788018836863,1617021.7754005445,-375308.71958428633,66698.56883446209,3.341602087020874,-0.8586471676826477,-0.941196084022522
1537341330.0,-363.2816765335048,1.920886149313773,-6.923834406972615,1617016.9488554555,-375321.46219236375,66698.56430171974,3.4821815490722656,-0.38044729828834534,-1.028356909751892
1537341390.0,-392.50828900629756,21.49690650890198,-5.15010618141867,1617012.1223103665,-375334.2048004412,66698.5597689774,3.537501335144043,-0.2349831610918045,-1.0914658308029175
1537341450.0,-382.332854404712,15.439714347954162,-6.297279357910156,1617007.2957652775,-375346.94740851864,66698.55523623506,3.552131414413452,-0.660460889339447,-1.0160261392593384
1537341510.0,-359.9129163424068,25.94938545965134,-6.297279357910156,1617002.4692201882,-375359.6900165961,66698.5507034927,3.580139398574829,-0.7068957686424255,-1.0350401401519775
1537341570.0,-371.4555507444623,29.960551282373366,-6.297279357910156,1616997.6426750992,-375372.4326246735,66698.54617075036,3.5918257236480713,-0.7643024325370789,-0.9971101880073547
